2020-04-22 17:09:59,727 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:10:00,224 | INFO | start_app | Waiting for App to start up...
2020-04-22 17:10:00,224 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 17:10:00,224 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:10:06,311 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:10:11,854 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 17:10:11,922 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 17:10:11,922 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 17:10:13,114 | INFO | __main__ | Collect Gold
2020-04-22 17:10:22,279 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:10:22,279 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:10:29,359 | INFO | __main__ | Find small green shrub
2020-04-22 17:10:38,347 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:10:38,347 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:10:55,399 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 17:11:09,903 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 17:11:18,777 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 17:11:33,781 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:11:40,922 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:11:41,393 | INFO | start_app | Waiting for App to start up...
2020-04-22 17:11:41,393 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 17:11:41,393 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:11:47,318 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:11:52,785 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 17:11:52,835 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 17:11:52,835 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 17:11:54,031 | INFO | __main__ | Collect Gold
2020-04-22 17:12:13,591 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 17:12:20,926 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 17:12:35,931 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:12:43,182 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:12:43,665 | INFO | start_app | Waiting for App to start up...
2020-04-22 17:12:43,665 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 17:12:43,665 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:12:49,706 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:12:55,181 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 17:12:55,231 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 17:12:55,231 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 17:12:56,431 | INFO | __main__ | Collect Gold
2020-04-22 17:13:05,545 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:13:05,545 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:13:12,673 | INFO | __main__ | Find small green shrub
2020-04-22 17:13:21,630 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:13:21,631 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:13:38,870 | INFO | features.helpers.appium_helpers | Saving screenshot...
2020-04-22 17:14:46,888 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 17:14:54,553 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 17:15:09,555 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:15:16,790 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:15:17,285 | INFO | start_app | Waiting for App to start up...
2020-04-22 17:15:17,285 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 17:15:17,285 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:15:23,285 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:15:28,771 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 17:15:28,819 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 17:15:28,819 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 17:15:30,019 | INFO | __main__ | Collect Gold
2020-04-22 17:15:39,212 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:15:39,212 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:15:46,521 | INFO | __main__ | Collect Elixir
2020-04-22 17:24:53,035 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-22 17:25:02,873 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-22 17:25:17,878 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:25:25,204 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:25:25,704 | INFO | start_app | Waiting for App to start up...
2020-04-22 17:25:25,705 | INFO | start_app | Waiting for App to finish loading...
2020-04-22 17:25:25,705 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-22 17:25:31,727 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-22 17:25:37,191 | INFO | __main__ | Pinch screen to see the whole village
2020-04-22 17:25:37,249 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-22 17:25:37,249 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-22 17:25:38,462 | INFO | __main__ | Collect Gold
2020-04-22 17:25:47,402 | INFO | features.helpers.appium_helpers | Image found...
2020-04-22 17:25:47,402 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-22 17:25:54,526 | INFO | __main__ | Collect Elixir
2020-04-22 17:26:03,408 | ERROR | features.helpers.appium_helpers | Given image: elixir_collector_button.pngwas not found on screen!
2020-04-23 10:22:59,997 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-23 10:23:08,449 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-23 10:23:23,450 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:23:30,762 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:23:31,242 | INFO | start_app | Waiting for App to start up...
2020-04-23 10:23:31,243 | INFO | start_app | Waiting for App to finish loading...
2020-04-23 10:23:31,243 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:23:37,482 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:23:42,948 | INFO | __main__ | Pinch screen to see the whole village
2020-04-23 10:23:42,996 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-23 10:23:42,997 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-23 10:23:44,267 | INFO | __main__ | Collect Gold
2020-04-23 10:23:53,444 | INFO | features.helpers.appium_helpers | Image found...
2020-04-23 10:23:53,444 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-23 10:24:00,724 | INFO | __main__ | Collect Elixir
2020-04-23 10:24:09,814 | ERROR | features.helpers.appium_helpers | Given image: elixir_collector_button.png was not found on screen!
2020-04-23 10:26:49,154 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-23 10:26:59,616 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-23 10:27:14,620 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:27:21,946 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:27:22,410 | INFO | start_app | Waiting for App to start up...
2020-04-23 10:27:22,410 | INFO | start_app | Waiting for App to finish loading...
2020-04-23 10:27:22,410 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:27:28,574 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:27:34,051 | INFO | __main__ | Pinch screen to see the whole village
2020-04-23 10:27:34,106 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-23 10:27:34,107 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-23 10:27:35,326 | INFO | __main__ | Collect Gold
2020-04-23 10:27:44,439 | INFO | features.helpers.appium_helpers | Image found...
2020-04-23 10:27:44,439 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-23 10:27:51,726 | INFO | __main__ | Collect Elixir
2020-04-23 10:28:00,766 | ERROR | features.helpers.appium_helpers | Given image: elixir_collector_button.png was not found on screen!
2020-04-23 10:28:00,766 | ERROR | features.helpers.appium_helpers | message
Traceback (most recent call last):
  File "/Users/navdsharma/Documents/git_repos/Public/automate_coc/features/helpers/appium_helpers.py", line 129, in tap_image
    img_element = driver.find_element_by_image(get_file_abs_path(ref_img_name))
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/extensions/search_context/mobile.py", line 78, in find_element_by_image
    return self.find_element(by=MobileBy.IMAGE, value=b64_data)
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/webdriver.py", line 284, in find_element
    'value': value})['value']
  File "/usr/local/lib/python3.7/site-packages/selenium/webdriver/remote/webdriver.py", line 321, in execute
    self.error_handler.check_response(response)
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/errorhandler.py", line 29, in check_response
    raise wde
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/errorhandler.py", line 24, in check_response
    super(MobileErrorHandler, self).check_response(response)
  File "/usr/local/lib/python3.7/site-packages/selenium/webdriver/remote/errorhandler.py", line 242, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.NoSuchElementException: Message: An element could not be located on the page using the given search parameters.

2020-04-23 10:31:31,144 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-23 10:31:40,288 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-23 10:31:55,293 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:32:02,497 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:32:02,984 | INFO | start_app | Waiting for App to start up...
2020-04-23 10:32:02,984 | INFO | start_app | Waiting for App to finish loading...
2020-04-23 10:32:02,984 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:32:09,047 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:32:14,514 | INFO | __main__ | Pinch screen to see the whole village
2020-04-23 10:32:15,033 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-23 10:32:15,034 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-23 10:32:19,288 | INFO | __main__ | Collect Gold
2020-04-23 10:32:35,964 | INFO | features.helpers.appium_helpers | Image found...
2020-04-23 10:32:35,965 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-23 10:32:43,473 | INFO | __main__ | Collect Elixir
2020-04-23 10:32:57,628 | ERROR | features.helpers.appium_helpers | Given image: elixir_collector_button.png was not found on screen!
2020-04-23 10:32:57,628 | ERROR | features.helpers.appium_helpers | Stacktrace is shown below:
Traceback (most recent call last):
  File "/Users/navdsharma/Documents/git_repos/Public/automate_coc/features/helpers/appium_helpers.py", line 129, in tap_image
    img_element = driver.find_element_by_image(get_file_abs_path(ref_img_name))
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/extensions/search_context/mobile.py", line 78, in find_element_by_image
    return self.find_element(by=MobileBy.IMAGE, value=b64_data)
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/webdriver.py", line 284, in find_element
    'value': value})['value']
  File "/usr/local/lib/python3.7/site-packages/selenium/webdriver/remote/webdriver.py", line 321, in execute
    self.error_handler.check_response(response)
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/errorhandler.py", line 29, in check_response
    raise wde
  File "/usr/local/lib/python3.7/site-packages/appium/webdriver/errorhandler.py", line 24, in check_response
    super(MobileErrorHandler, self).check_response(response)
  File "/usr/local/lib/python3.7/site-packages/selenium/webdriver/remote/errorhandler.py", line 242, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.NoSuchElementException: Message: An element could not be located on the page using the given search parameters.

2020-04-23 10:35:30,943 | INFO | features.helpers.appium_helpers | Starting App...
2020-04-23 10:35:38,700 | INFO | features.helpers.appium_helpers | App Started Successfully!
2020-04-23 10:35:53,700 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:36:00,924 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:36:01,410 | INFO | start_app | Waiting for App to start up...
2020-04-23 10:36:01,410 | INFO | start_app | Waiting for App to finish loading...
2020-04-23 10:36:01,410 | INFO | features.helpers.appium_helpers | Comparing screenshots...
2020-04-23 10:36:07,445 | INFO | features.helpers.appium_helpers | Compare two screenshots by using Similarity Calculation
2020-04-23 10:36:12,919 | INFO | __main__ | Pinch screen to see the whole village
2020-04-23 10:36:12,972 | INFO | features.helpers.appium_helpers | Start pinch
2020-04-23 10:36:12,972 | INFO | features.helpers.appium_helpers | Pinch screen
2020-04-23 10:36:14,175 | INFO | __main__ | Collect Gold
2020-04-23 10:36:23,134 | INFO | features.helpers.appium_helpers | Image found...
2020-04-23 10:36:23,135 | INFO | features.helpers.appium_helpers | Clicking image...
2020-04-23 10:36:30,249 | INFO | __main__ | Collect Elixir
2020-04-23 10:36:39,162 | ERROR | features.helpers.appium_helpers | Given image: elixir_collector_button.png was not found on screen!
2020-04-23 10:36:39,162 | ERROR | features.helpers.appium_helpers | Stacktrace is shown below:
Traceback (most recent call last):
  File "/Users/navdsharma/Documents/git_repos/Public/automate_coc/features/helpers/appium_helpers.py", line 129, in tap_image
    img_element = driver.find_element_by_image(get_file_abs_path(ref_img_name))
